From	To
Q9UL16	NP_036469.2
Q8IYW2	NP_001186978.2
Q96M91	NP_659457.2
Q96N23	NP_001293013.1
A0A087WVY5	NP_001182760.2
A0A087WVY5	XP_016855911.1
Q5T655	NP_001008723.1
A0A087WSW1	XP_006717667.1
A0A087WSW1	XP_006717668.1
A6NFT4	NP_001138344.1
Q9C0B2	NP_001291289.1
Q6ZQR2	NP_001269886.1
Q6ZQR2	NP_997300.1
Q7Z4T9	NP_001307245.1
Q7Z4T9	NP_001307246.1
Q7Z4T9	NP_001307247.1
Q7Z4T9	NP_203528.2
Q7Z4T9	XP_011511579.1
D6REC4	XP_011511774.1
P00751	NP_001701.2
A0A087WWV2	NP_001257349.1
P0CG36	NP_001072998.1
A0A0H5AUJ9	XP_011521117.1
A0A3B3IRW0	XP_005245170.1
Q02985	NP_001160096.1
Q02985	NP_066303.2
Q8WW88	NP_001304986.1
A0A7P0TBQ3	XP_016865721.1
P0DN86	NP_000728.1
P0DN86	NP_149032.1
P0DN86	NP_149439.1
A0A0F7RQF0	NP_149133.1
A0A0F7RQF0	XP_016882991.1
P0DN87	NP_149133.1
P0DN87	XP_016882991.1
Q9UFW8	NP_001008391.1
Q9UFW8	NP_001182237.1
Q9UFW8	NP_003654.3
Q9UFW8	XP_016862844.1
Q0VF96	NP_001239264.1
Q0VF96	NP_116255.2
Q0VF96	XP_016878175.1
Q99674	NP_001159711.1
Q99674	NP_001159712.1
Q99674	NP_001288253.1
Q99674	NP_006560.3
O95992	NP_003947.1
Q9BUX1	NP_077016.2
Q8WUX2	NP_001008708.1
Q8WUX2	NP_001333056.1
Q6NUI6	NP_612490.1
Q13112	NP_005432.1
Q13112	XP_016883966.1
Q13112	XP_016883967.1
Q9Y6H1	NP_057223.1
A4D1N4	NP_060282.1
Q8N4Q1	NP_001091972.1
Q8N4Q1	NP_653237.1
Q8TDI0	NP_056372.1
H3BTW3	XP_016879215.1
Q8IWX8	NP_006378.3
Q9UKJ5	NP_036242.1
P35790	NP_001268.2
P35790	NP_997634.1
Q9Y259	NP_005189.2
O00533	NP_001240316.1
O00533	NP_006605.2
O00533	XP_006713001.1
O00533	XP_006713002.1
O00533	XP_006713003.1
O00533	XP_011531594.1
O00533	XP_011531596.1
O00533	XP_011531597.1
O00533	XP_016861055.1
O00533	XP_016861056.1
O00533	XP_016861057.1
O00533	XP_016861058.1
O00533	XP_016861059.1
O00533	XP_016861060.1
P24386	NP_000381.1
P24386	NP_001138886.1
P24386	NP_001307888.1
P26374	NP_001812.2
Q7LBR1	NP_065145.2
Q9UQN3	NP_001231573.1
Q9UQN3	NP_054762.2
Q9Y3E7	NP_001005753.1
Q9Y3E7	NP_001180446.1
Q9Y3E7	NP_001185883.1
Q9Y3E7	NP_057163.1
Q9H444	NP_789782.1
Q96CF2	NP_689497.1
Q9NZZ3	NP_001182465.1
Q9NZZ3	NP_057494.3
A0A0C4DFS2	NP_001191106.1
A0A0C4DFS2	NP_001191107.1
Q9UHD1	NP_001137545.1
Q9UHD1	NP_036256.2
O43745	NP_071380.1
Q9NRG0	NP_059140.1
Q9H2X0	NP_001291401.1
Q9H2X0	NP_001291402.1
Q9H2X0	NP_001291403.1
Q9H2X0	NP_003732.2
Q9BU40	NP_001137453.1
Q9BU40	NP_001137454.1
Q9BU40	NP_001137455.2
Q9BU40	NP_660277.2
Q9BU40	XP_005262278.1
Q9BU40	XP_005262279.1
Q6WN34	NP_001265402.1
Q6WN34	NP_001291319.1
Q6WN34	NP_001291320.1
Q6WN34	NP_001291344.1
Q6WN34	NP_001291345.1
Q6WN34	NP_001291346.1
Q6WN34	NP_056239.3
A0A0G2JMC1	XP_011506794.1
Q53XZ3	NP_000729.2
Q53XZ3	XP_011543044.1
Q86SJ1	NP_000730.1
Q86SJ1	NP_001006627.1
Q86SJ1	NP_001006628.1
Q86SJ1	NP_001006629.1
Q86SJ1	NP_001006630.1
Q86SJ1	NP_001006631.1
P08173	NP_000732.2
P08912	NP_001307846.1
P08912	NP_036257.1
C4IXS7	NP_001289964.1
Q9UGM1	NP_060051.2
P17787	NP_000739.1
P07510	NP_005190.4
O43916	NP_003645.1
Q7LFX5	NP_001257693.1
Q7LFX5	NP_001257694.1
Q7LFX5	NP_056976.2
Q7LFX5	XP_005269948.1
Q7LFX5	XP_006717954.1
Q7LFX5	XP_016871808.1
Q9Y4C5	NP_004258.2
Q7LGC8	NP_004264.2
Q7LGC8	XP_006718138.1
Q7LGC8	XP_011538671.1
Q8NCG5	NP_001159867.1
Q8NCG5	NP_005760.1
Q9GZS9	NP_078809.2
Q9NS84	NP_063939.2
Q9H2A9	NP_001121367.1
Q9H2A9	NP_001121368.1
Q9H2A9	NP_071912.2
Q9H2A9	XP_011525524.1
Q9H2A9	XP_011525526.1
Q9H2A9	XP_016882632.1
Q9P2E5	NP_061888.1
A0A087X1B7	NP_001231593.1
O15111	NP_001269.3
Q8WUH1	NP_001190992.1
Q8WUH1	NP_660148.3
B4DL54	NP_001189488.1
A0PJX0	NP_001025052.1
A0A1X7SC74	NP_940893.1
A0A1X7SC74	XP_011521365.1
O60543	NP_001270.1
A0A0A0MRY9	NP_001186552.1
A0A087X2I7	NP_001273331.1
A0A087X2I7	XP_011520794.1
A0A7I2PIU1	XP_011512721.1
A0A7I2PIU1	XP_011512722.1
A0A7I2PIU1	XP_011512723.1
A0A7I2PIU1	XP_016865974.1
A0A7I2PIU1	XP_016865975.1
A0A7I2PIU1	XP_016865976.1
O75339	NP_003604.3
Q8IUL8	NP_694953.2
Q8TCG1	NP_065941.2
Q8TCG1	XP_006713780.1
Q8TCG1	XP_011511358.1
Q86X95	NP_004873.3
Q9NZ45	NP_060934.1
P0C7P0	NP_001129970.1
Q9NSE2	NP_037456.5
Q9NSE2	NP_659508.1
Q9NSE2	XP_011531631.1
Q99966	NP_001138357.1
Q99966	NP_001138358.1
Q99966	NP_001138359.1
Q99966	NP_004134.2
Q99966	XP_011529260.1
A0A0A0MTM3	NP_001161861.2
Q96RK1	NP_597724.1
Q8IYA6	NP_001291290.1
Q8IYA6	NP_689728.3
Q8IYA6	XP_011508968.1
A0A087WVB3	NP_001191028.1
P06732	NP_001815.2
P06732	XP_016881729.1
P12532	NP_001015001.1
P12532	NP_001308855.1
P12532	NP_001308856.1
P12532	NP_001308857.1
P12532	NP_066270.1
P12532	XP_011519496.1
P12532	XP_011519497.1
P12532	XP_011519498.1
P12532	XP_011519499.1
P12532	XP_016877858.1
P12532	XP_016877859.1
P33552	NP_001818.1
Q96F83	NP_777551.2
Q9UBD9	NP_001159684.1
Q9UBD9	NP_037378.1
A8K7I4	NP_001276.2
Q9UQC9	NP_006527.1
P51790	NP_001230301.1
P51790	NP_001230303.1
P51790	NP_001820.2
P51790	NP_776297.2
P51797	NP_001243888.1
P51797	NP_001277.1
P51800	NP_001036169.1
P51800	NP_001244068.1
P51800	NP_004061.3
Q96PD2	NP_563615.3
O95832	NP_066924.1
O75508	NP_005593.2
P56749	NP_001172001.1
P56749	NP_001172002.1
P56749	NP_036261.1
O95500	NP_001139549.1
O95500	NP_001139550.1
O95500	NP_001139551.1
O95500	NP_036262.1
O95500	NP_652763.1
P56746	NP_001172009.1
P56746	NP_055158.1
Q9Y5I7	NP_006571.1
P56750	NP_036263.1
Q8N6F1	NP_001116867.1
Q8N6F1	NP_001172046.1
Q8N6F1	NP_683763.2
P57739	NP_001164563.1
P57739	NP_001164566.1
P57739	NP_065117.1
P56880	NP_001001346.1
P56880	XP_011534150.1
Q8N7P3	NP_001104789.1
Q96B33	NP_919260.2
A6NM45	NP_001172078.1
C9JDP6	NP_001094859.1
Q75L79	NP_001297.1
H7C241	NP_001182010.1
Q75L80	NP_001296.1
O00501	NP_001124333.1
O00501	NP_003268.2
P56747	NP_067018.2
P56748	NP_955360.1
O95484	NP_066192.1
Q8NHS1	NP_689566.1
J3KR22	NP_001316999.1
Q86T13	NP_778230.1
Q6ZS10	NP_001191047.1
Q6ZS10	NP_997273.3
Q6UXF7	NP_001011880.2
E7ESV9	NP_001284678.1
Q9P126	NP_001092901.1
Q9P126	NP_057593.3
Q9P126	XP_005253439.1
Q9P126	XP_011518987.1
Q9P126	XP_016874884.1
Q6UVW9	NP_001124183.1
Q6UVW9	NP_997258.1
Q92478	NP_005118.2
E9PHK0	NP_001295323.1
Q9UMR7	NP_057268.1
Q9UMR7	NP_919429.2
Q9UMR7	NP_919430.1
Q9UMR7	NP_919432.1
Q8WTT0	NP_569708.1
Q8WTT0	NP_987099.1
Q8WXI8	NP_525126.2
Q8WXI8	XP_011518934.1
Q8N1N0	NP_001308237.1
Q8N1N0	NP_775806.2
E7ENS9	XP_006722676.1
Q6EIG7	NP_001007034.1
Q6EIG7	NP_001304928.1
Q6UXN8	NP_997228.1
Q8IZS7	NP_001240679.1
Q8IZS7	NP_001254630.1
Q8IZS7	NP_742001.1
O00299	NP_001274522.1
O00299	NP_001274523.1
O00299	NP_001279.2
O95833	NP_004660.2
O95833	XP_016870771.1
Q9Y696	NP_039234.1
Q9NZA1	NP_001107558.1
Q9NZA1	NP_001242952.1
Q9NZA1	NP_058625.2
Q9NZA1	XP_016866442.1
Q96NY7	NP_001303938.1
Q96NY7	NP_444507.1
P49759	NP_001155879.1
P49759	NP_004062.2
A8K7I0	NP_001281267.1
Q9H6B4	NP_079045.1
O15516	NP_001254772.1
O15516	NP_004889.1
O15516	XP_005265844.1
O15516	XP_011532711.1
O15516	XP_011532712.1
O15516	XP_011532713.1
O15516	XP_016864343.1
Q5KU26	NP_569057.1
Q6UWE3	NP_001273479.1
Q6UWE3	NP_997292.2
Q96KA5	NP_110409.2
O76031	NP_006651.2
A0PK11	NP_001073296.1
Q8NCR9	NP_689524.1
Q9H4D0	NP_071414.2
P09497	NP_001825.1
P09497	NP_009028.1
A0A3B3ITM8	XP_016885169.1
J3KNW5	NP_001317383.1
F5GWQ8	NP_001275965.1
Q5SYC1	NP_001010852.2
Q5SYC1	XP_016865755.1
Q4FEB3	NP_001295012.1
Q4FEB3	NP_001827.1
Q8NFW8	NP_061156.1
Q96DG6	NP_620164.1
Q96DG6	XP_016864523.1
Q96DG6	XP_016864524.1
P56277	NP_001018024.1
P30085	NP_001129612.1
P30085	NP_057392.1
Q8IZ96	NP_443725.3
Q8IZ96	NP_851785.2
Q8IZ96	NP_851786.1
Q8IZ96	NP_851787.1
Q8IZ96	NP_851788.1
Q8IZ96	NP_851789.1
Q8IZ96	NP_851800.1
Q8IZ96	NP_851813.1
Q8TAZ6	NP_001186246.1
Q8TAZ6	NP_653274.1
Q96MX0	NP_653202.1
Q96MX0	NP_853531.1
Q96MX0	XP_006721194.1
Q9NX76	NP_060271.1
F8WDZ3	XP_011531621.1
Q8IZV2	NP_001307237.1
Q8IZV2	NP_849199.2
Q8N3K9	NP_705838.3
Q96M20	NP_001194005.1
Q96M20	NP_543024.2
Q96M20	XP_005260352.1
A0A0S2Z4Q3	NP_001120668.1
Q96KN2	NP_116038.4
Q9BYD5	NP_115877.2
Q16280	NP_005131.1
Q16281	NP_001073347.1
Q16281	NP_001289.1
Q6PI25	NP_872359.1
Q8TBE1	NP_689708.1
Q9P003	NP_001264126.1
Q9P003	NP_054903.1
O75829	NP_001011705.1
O75829	NP_008946.1
A0A8Q3SIV9	NP_001332816.1
Q9H8M5	NP_060119.3
Q9H8M5	NP_951058.1
Q9H8M5	NP_951059.1
Q8NE01	NP_060093.3
Q8NE01	NP_951060.1
Q6P4Q7	NP_064569.3
Q9UKZ1	NP_060016.3
H0Y9Z5	XP_016863446.1
Q3B7I2	NP_001096646.1
Q9BT09	NP_006577.2
Q8N129	NP_689968.1
P21554	NP_001153698.1
P21554	NP_001153730.1
P21554	NP_001153731.1
P21554	NP_057167.2
P21554	NP_149421.2
P21554	XP_006715393.1
P21554	XP_011533726.1
P21554	XP_011533727.1
P21554	XP_011533728.1
P21554	XP_011533730.1
P21554	XP_016865727.1
P21554	XP_016865728.1
P21554	XP_016865729.1
P34972	NP_001832.1
P34972	XP_011538931.1
P34972	XP_016855750.1
P26441	NP_000605.1
P26992	NP_001193940.1
P26992	NP_001833.1
P26992	NP_671693.1
P26992	XP_016869752.1
P26992	XP_016869753.1
P26992	XP_016869754.1
Q9NXG0	NP_001107867.1
Q9NXG0	NP_060208.2
Q12860	NP_001242992.1
Q12860	NP_001242993.1
Q12860	NP_001834.2
Q12860	NP_778203.1
Q12860	XP_005268708.1
Q12860	XP_006719304.1
Q12860	XP_011536228.1
Q12860	XP_011536229.1
Q12860	XP_016874314.1
Q12860	XP_016874315.1
Q12860	XP_016874316.1
Q9P232	NP_065923.1
Q9P232	XP_005264814.1
Q9P232	XP_016861996.1
Q8WYK1	NP_570129.1
Q9NYJ1	NP_057649.2
Q9NYJ1	XP_016873372.1
Q9NYJ1	XP_016873373.1
Q5JTJ3	NP_001013003.1
Q5JTJ3	NP_001193570.2
Q5JTJ3	NP_001288662.1
Q96BR5	NP_075565.2
Q96IL0	NP_001289581.1
Q96IL0	NP_001289582.1
Q96IL0	NP_115750.2
B1ALW7	NP_031383.1
Q9UP83	NP_001154992.1
Q9UP83	NP_006339.3
Q9UP83	NP_859422.2
Q9Y2V7	NP_001138551.1
Q9Y2V7	NP_065802.1
A0A0S2Z652	NP_705831.1
Q03692	NP_000484.2
Q03692	XP_006715396.1
Q03692	XP_011533734.1
Q03692	XP_011533735.1
Q03692	XP_016865737.1
Q03692	XP_016865738.1
A0A0C4DFS1	NP_542411.2
A0A0C4DFS1	XP_016865739.1
P39059	NP_001846.3
P39059	XP_011516516.1
P39060	NP_085059.2
P39060	NP_569711.2
P39060	NP_569712.2
Q9P218	NP_065933.2
Q9P218	XP_011527242.1
Q96P44	NP_001305680.1
Q96P44	NP_001305681.1
Q96P44	NP_001305682.1
Q96P44	NP_001305683.1
Q96P44	NP_110447.2
Q96P44	XP_011513226.1
Q96P44	XP_011513227.1
Q96P44	XP_011513228.1
Q96P44	XP_011513229.1
F8WDM8	XP_016856419.1
A0A2R8Y760	XP_011530635.1
A0A2R8Y760	XP_011530636.1
A0A2R8Y760	XP_011530637.1
Q96A83	NP_001265492.1
Q96A83	NP_597714.2
Q8IZC6	NP_116277.2
Q2UY09	NP_001032852.2
Q2UY09	XP_011513660.1
Q2UY09	XP_011513661.1
Q2UY09	XP_011513662.1
Q2UY09	XP_011513665.1
Q2UY09	XP_016867620.1
Q2UY09	XP_016867621.1
A7MBN3	NP_000486.1
A7MBN3	NP_203699.1
A0A087WZY5	NP_001274688.1
P25940	NP_056534.2
A0A384P5H7	NP_001839.2
B7ZW00	NP_476507.3
A8TX70	NP_001265227.1
A8TX70	NP_694996.5
A6NMZ7	NP_001096078.1
A6NMZ7	XP_005247178.1
A6NMZ7	XP_011510727.1
A6NMZ7	XP_011510728.1
A6NMZ7	XP_011510730.1
A6NMZ7	XP_016861200.1
A6NMZ7	XP_016861201.1
A6NMZ7	XP_016861202.1
A6NMZ7	XP_016861203.1
A6NMZ7	XP_016861204.1
W0FBW3	NP_001289573.1
W0FBW3	NP_001289574.1
W0FBW3	NP_001289575.1
W0FBW3	NP_001289576.1
W0FBW3	NP_001289577.1
W0FBW3	NP_997312.1
A8K830	NP_001129577.1
A8K830	NP_001258386.1
A8K830	NP_001258387.1
A8K830	XP_016872687.1
A8K830	XP_016872688.1
A8K830	XP_016872689.1
Q9Y6Z7	NP_001311024.1
Q9Y6Z7	NP_006429.2
Q9BWP8	NP_001242911.1
Q9BWP8	NP_001242912.1
Q9BWP8	NP_001242913.1
Q9BWP8	NP_001242914.1
Q9BWP8	NP_001242915.1
Q9BWP8	NP_001242916.1
Q9BWP8	NP_001242917.1
Q9BWP8	NP_001242918.1
Q9BWP8	NP_076932.1
Q9BWP8	NP_954705.1
Q9Y215	NP_005668.2
Q9Y215	NP_536799.1
Q9Y215	NP_536800.2
R4GMX3	NP_001190991.1
Q9GZQ3	NP_001074472.1
Q9GZQ3	NP_001074473.1
Q9GZQ3	NP_001274166.1
Q9GZQ3	NP_054785.2
Q9NX08	NP_001316597.1
Q9NX08	NP_060315.1
Q53FR9	NP_001095123.1
Q53FR9	NP_001294861.1
Q53FR9	NP_001294866.1
Q53FR9	NP_054905.2
M0QXB4	NP_001317398.1
Q9Y678	NP_057212.1
Q9UBF2	NP_001276962.1
Q9UBF2	NP_036265.3
A0A024R7W9	NP_006828.2
Q96MF6	NP_001092807.1
Q96MF6	NP_653177.3
B8ZZV9	NP_001307748.1
Q9NZJ6	NP_059117.3
Q99807	NP_001177912.1
Q99807	NP_057222.2
Q8NI60	NP_064632.2
Q8NI60	XP_005273258.1
Q8NI60	XP_011542540.1
Q8NI60	XP_011542541.1
Q8NI60	XP_011542542.1
Q8NI60	XP_011542543.1
Q8NI60	XP_016857341.1
Q9ULV4	NP_001098707.1
Q9ULV4	NP_001263400.1
Q9ULV4	NP_055140.1
Q9ULV4	XP_016874610.1
Q9ULV4	XP_016874611.1
Q9ULV4	XP_016874612.1
Q92828	NP_003380.3
Q92828	NP_438171.1
Q92828	XP_011517288.1
Q9UQ03	NP_001177385.1
Q9UQ03	NP_001177386.1
Q9UQ03	NP_001310943.1
Q9UQ03	NP_001310944.1
Q9UQ03	NP_006082.3
A0A0A6YYL4	NP_001188408.1
Q8IUV6	NP_001293.3
Q14019	NP_066972.1
B4DI26	NP_001308447.1
Q96I36	NP_001244062.1
Q96I36	NP_001244063.1
Q96I36	NP_116290.1
Q7KZN9	NP_001307903.1
Q7KZN9	NP_001307904.1
Q7KZN9	NP_001307905.1
Q7KZN9	NP_004367.2
Q7KZN9	NP_510870.1
Q9P0S2	NP_001191019.1
Q9P0S2	NP_057552.1
Q8N8Q8	NP_001284662.1
Q8N8Q8	NP_001287658.1
Q8N8Q8	NP_776188.1
Q49B96	NP_001026788.1
Q5RI15	NP_001299800.1
Q5RI15	NP_932342.1
P13073	NP_001305715.1
P13073	NP_001305717.1
P13073	NP_001305723.1
P13073	NP_001305726.1
P13073	NP_001305731.1
P13073	NP_001852.1
H6SG14	NP_115998.2
P12074	NP_004364.2
Q6YFQ2	NP_653214.2
P09669	NP_004365.1
P09669	XP_016868509.1
Q6FGI7	NP_001855.1
Q6FGA0	NP_001305965.1
Q6FGA0	NP_001305966.1
Q6FGA0	NP_004709.2
P15954	NP_001858.1
P10176	NP_004065.1
Q7Z4L0	NP_892016.1
P48052	NP_001860.2
Q9UI42	NP_001156918.1
Q9UI42	NP_057436.2
Q8N4T0	NP_065094.3
A0A494C0S9	NP_056507.2
A0A5K1VW93	NP_872291.2
B3KXC1	NP_055727.3
Q6PUV4	NP_001008221.1
Q6PUV4	NP_006641.1
Q6PUV4	XP_005265855.1
Q6PUV4	XP_005265856.1
Q6PUV4	XP_011532721.1
Q6PUV4	XP_016864453.1
Q8WVH0	NP_001025176.1
P15169	NP_001299.1
P22792	NP_001073982.3
P22792	NP_001278917.1
P22792	XP_005269337.1
Q99829	NP_003906.2
Q99829	NP_690902.1
Q99829	NP_690903.1
Q99829	NP_690904.1
Q99829	NP_690905.1
Q4G168	NP_001276041.1
Q4G168	NP_570720.1
Q4G168	NP_702907.1
Q9HCH3	NP_001300947.1
Q9HCH3	NP_001300948.1
Q9HCH3	NP_001300949.1
Q9HCH3	NP_065990.1
Q8IYJ1	NP_001295317.1
Q8IYJ1	NP_705899.2
Q8IVL8	NP_775100.1
Q8IVL8	XP_016858861.1
Q9BRF8	NP_001092925.1
Q9BRF8	NP_060810.2
Q10570	NP_037423.2
A6NMK7	NP_001123357.1
Q5TA50	NP_001025056.1
Q5TA50	XP_005244858.1
Q5TA50	XP_011540502.1
Q8N123	NP_001171700.1
Q8N123	NP_149037.4
Q96SM3	NP_001171628.1
Q96SM3	NP_062555.1
A0A384MDV6	NP_001014447.1
Q2VPA4	NP_783641.1
P29762	NP_004369.1
Q9BSW2	NP_001138430.1
Q9BSW2	NP_116069.1
P78560	NP_001307028.1
P78560	NP_001307029.1
P78560	NP_001307030.1
P78560	NP_003796.1
P78560	XP_016875633.1
F5H0L2	NP_001244894.1
Q5IJ48	NP_775960.4
Q5IJ48	XP_005251991.1
Q9BUF7	NP_631900.1
Q9BUF7	NP_777377.1
Q9BUF7	NP_777378.1
Q9UGL9	NP_061933.1
Q9UGL9	XP_011507958.1
O43889	NP_006359.3
Q96BA8	NP_443086.1
Q68CJ9	NP_001258924.1
Q68CJ9	NP_001258925.1
Q68CJ9	NP_001258926.1
Q68CJ9	NP_115996.1
Q8TEY5	NP_001242907.1
Q8TEY5	NP_001242908.1
Q8TEY5	NP_001242909.1
Q8TEY5	NP_001242910.1
Q8TEY5	NP_570968.1
Q8TEY5	XP_006711235.1
Q8TEY5	XP_016855861.1
Q02930	NP_001011666.1
Q02930	NP_004895.2
Q02930	NP_878901.2
Q02930	NP_878902.2
Q02930	XP_005249963.1
Q02930	XP_016868295.1
Q02930	XP_016868297.1
O60519	NP_001301.1
E9PIM0	XP_006718705.1
E9PIM0	XP_016873575.1
E9PIM0	XP_016873576.1
O75629	NP_003842.1
Q6UXH1	NP_001128573.1
Q6UXH1	NP_001271246.1
Q6UXH1	NP_001271247.1
Q6UXH1	NP_077300.3
Q6UXH1	XP_005261795.1
A0A0S2Z478	NP_000747.1
A0A0S2Z478	XP_016868579.1
A0A0S2Z478	XP_016868580.1
A0A0S2Z478	XP_016868581.1
A0A0S2Z478	XP_016868582.1
K9J956	NP_001289947.1
P50238	NP_001302.1
P52943	NP_001257766.1
P52943	NP_001257770.1
P52943	NP_001303.1
Q9P021	NP_054890.1
P54107	NP_001122.2
P54107	NP_001192149.1
P54107	NP_733758.1
P16562	NP_001135879.1
P16562	NP_001135880.1
P16562	NP_001135889.1
P16562	NP_001135907.1
P16562	NP_001248751.1
P16562	NP_003287.1
P16562	XP_005249406.1
P16562	XP_005249407.1
P16562	XP_005249408.1
P16562	XP_005249409.1
P16562	XP_005249410.1
P16562	XP_005249413.1
P16562	XP_011513143.1
P16562	XP_011513144.1
Q9H336	NP_001273706.1
Q9H336	NP_113649.1
Q9H0B8	NP_113664.1
Q9H0B8	XP_005256247.1
O75462	NP_004741.1
Q9HC73	NP_001012288.2
Q9HC73	NP_071431.2
Q9UJA2	NP_001120930.1
Q9UJA2	NP_001310490.1
Q9UJA2	NP_001310491.1
Q9UJA2	NP_001310492.1
Q9UJA2	NP_001310493.1
Q9UJA2	NP_061968.1
Q9BZJ0	NP_001265554.1
Q9BZJ0	NP_001265555.1
Q9BZJ0	NP_001265556.1
Q9BZJ0	NP_001265557.1
Q9BZJ0	NP_057736.4
Q9UBG3	NP_057274.1
P02741	NP_000558.2
P02741	NP_001315986.1
P02741	NP_001315987.1
O95727	NP_001291711.1
O95727	NP_062550.2
A2I2P1	NP_066940.2
P53674	NP_001878.1
P53674	XP_011528201.1
R4UMM2	NP_000487.1
R4UMM2	XP_006724204.1
R4UMM2	XP_011528202.1
P26998	NP_004067.1
A0A0J9YWL0	XP_005266896.1
A0A0S2A4T3	NP_055432.2
P07316	NP_005201.2
A0A0X8GLL6	NP_066269.1
A0A0X8GLL6	XP_011508964.1
A0A140CTX7	NP_008822.2
A0A2R8Y702	XP_005250009.1
P22914	NP_060011.1
Q9Y2S2	NP_057058.2
Q9Y600	NP_001231634.1
Q9Y600	NP_057073.4
Q9Y600	XP_011536748.1
Q9Y5P2	NP_001123298.1
Q9Y5P2	NP_001123300.1
P55060	NP_001243064.1
P55060	NP_001307.2
P55060	XP_011526901.1
P09603	NP_000748.3
P09603	NP_757349.1
P09603	NP_757350.1
P09603	NP_757351.1
P04141	NP_000749.2
Q8N6G5	NP_001306583.1
Q8N6G5	NP_001306585.1
Q8N6G5	NP_061060.3
P41240	NP_001120662.1
P41240	NP_004374.1
P41240	XP_005254222.1
P41240	XP_016877414.1
A8MUP2	NP_001036694.1
Q96PZ7	NP_150094.5
P47710	NP_001020275.1
P47710	NP_001881.1
P47710	XP_006714152.1
P47710	XP_006714153.1
W5RWE1	NP_001882.1
W5RWE1	XP_016863249.1
Q9UNS2	NP_001186054.1
Q9UNS2	NP_001303283.1
Q9UNS2	NP_001303284.1
Q9UNS2	NP_001303285.1
Q9UNS2	NP_001303286.1
Q9UNS2	NP_001303287.1
Q9UNS2	NP_003644.2
Q9UNS2	XP_005256894.1
Q8N752	NP_660204.2
Q9HCP0	NP_001316535.1
Q9HCP0	NP_071331.2
Q9Y6M4	NP_001026982.1
Q9Y6M4	NP_001038188.1
Q9Y6M4	NP_001257501.1
Q9Y6M4	NP_001257502.1
Q9Y6M4	NP_001257503.1
Q9Y6M4	NP_004375.2
Q9Y6M4	XP_005271949.1
Q9Y6M4	XP_005271951.1
Q9Y6M4	XP_005271952.1
Q9Y6M4	XP_016864558.1
Q8NEV1	NP_001243615.1
Q6UVK1	NP_001888.2
O95196	NP_001193872.1
O95196	NP_001193873.1
O95196	NP_006565.2
Q96S65	NP_001307489.1
Q96S65	NP_149016.2
Q96S65	XP_016862537.1
P01037	NP_001889.2
A0A384P5Z6	NP_570612.1
P09228	NP_001313.1
P01034	NP_000090.1
P01034	NP_001275543.1
P01036	NP_001890.1
P28325	NP_001891.2
Q15828	NP_001314.1
O76096	NP_003641.3
O60676	NP_001268659.1
O60676	NP_005483.1
Q5W186	NP_001008693.2
Q9H4G1	NP_542177.1
P01040	NP_005204.1
P04080	NP_000091.1
Q05048	NP_001028693.1
Q05048	NP_001028694.1
Q05048	NP_001315.1
Q05048	XP_011526902.1
B3V096	NP_001293135.1
Q9H0L4	NP_056050.1
Q9H114	NP_612140.1
Q5HYN5	NP_001017417.1
Q5HYN5	XP_005278198.1
Q5HYN5	XP_011529654.1
Q5HYN5	XP_016855470.1
Q5HYN5	XP_016855471.1
Q5HYN5	XP_016855472.1
Q5HYN5	XP_016855473.1
P0DMU9	NP_001278456.1
P0DMU9	NP_001278457.1
P0DMU9	NP_001278458.1
P0DMU9	NP_001278459.1
P0DMU9	XP_011529540.1
P0DMU9	XP_011529541.1
Q5DJT8	NP_001278464.1
Q5DJT8	NP_001278469.1
Q5DJT8	NP_001308200.1
Q5DJT8	NP_689795.4
Q5DJT8	XP_006724846.1
Q5DJT8	XP_006724859.1
Q5DJT8	XP_006724862.1
Q5DJT8	XP_011529543.1
Q5DJT8	XP_011529691.1
Q8NHU0	NP_001017435.1
Q8NHU0	XP_006724821.1
Q8NHU0	XP_011529642.1
P0DMU8	NP_001007552.2
P0DMU8	NP_001017438.2
P0DMU8	NP_001165759.2
P0DMU8	NP_001278456.1
P0DMU8	NP_001278457.1
P0DMU8	NP_001278458.1
P0DMU8	NP_001278459.1
P0DMU8	NP_001278472.1
P0DMU8	XP_003960131.1
P0DMU8	XP_005262482.2
P0DMU8	XP_011529531.1
P0DMU8	XP_011529540.1
P0DMU8	XP_011529541.1
P0DMU8	XP_011529643.1
P0DMU8	XP_011529653.1
P0DMU7	NP_001007552.2
P0DMU7	NP_001017438.2
P0DMU7	NP_001165759.2
P0DMU7	NP_001278472.1
P0DMU7	XP_003960131.1
P0DMU7	XP_005262482.2
P0DMU7	XP_011529531.1
P0DMU7	XP_011529643.1
P0DMU7	XP_011529653.1
P0DMV0	NP_001007552.2
P0DMV0	NP_001017438.2
P0DMV0	NP_001165759.2
P0DMV0	NP_001278472.1
P0DMV0	XP_003960131.1
P0DMV0	XP_005262482.2
P0DMV0	XP_011529531.1
P0DMV0	XP_011529643.1
P0DMV0	XP_011529653.1
P0DMV1	NP_001278464.1
P0DMV1	NP_001278469.1
P0DMV1	NP_001308200.1
P0DMV1	NP_689795.4
P0DMV1	XP_006724846.1
P0DMV1	XP_006724859.1
P0DMV1	XP_006724862.1
P0DMV1	XP_011529543.1
P0DMV1	XP_011529691.1
P0DMV2	NP_001278464.1
P0DMV2	NP_001278469.1
